va,vb,ca,cb,win,n,job,backend,shots
1,5,1,1,0,30,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,5,2,1,1,33,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,5,3,1,1,138,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,5,0,2,1,83,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,5,1,2,1,42,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,5,2,2,0,23,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,5,3,2,1,67,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,5,0,3,1,79,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,5,1,3,1,123,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,5,2,3,1,59,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,5,3,3,0,32,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,6,0,0,0,18,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,6,1,0,1,98,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,6,2,0,1,50,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,6,3,0,1,45,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,6,0,1,1,91,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,6,1,1,0,24,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,6,2,1,1,69,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,6,3,1,1,108,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,6,0,2,1,123,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,6,1,2,1,44,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,6,2,2,0,5,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,6,3,2,1,101,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,6,0,3,1,37,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,6,1,3,1,104,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,6,2,3,1,93,cjrouffggiqgokfp38g0,ibm_auckland,1024
1,6,3,3,0,14,cjrouffggiqgokfp38g0,ibm_auckland,1024
2,7,0,0,0,33,cjrouffggiqgokfp38g0,ibm_auckland,1024
2,7,1,0,1,55,cjrouffggiqgokfp38g0,ibm_auckland,1024
2,7,2,0,1,151,cjrouffggiqgokfp38g0,ibm_auckland,1024
2,7,3,0,1,34,cjrouffggiqgokfp38g0,ibm_auckland,1024
2,7,0,1,1,11,cjrouffggiqgokfp38g0,ibm_auckland,1024
2,7,1,1,0,19,cjrouffggiqgokfp38g0,ibm_auckland,1024
2,7,2,1,1,34,cjrouffggiqgokfp38g0,ibm_auckland,1024
2,7,3,1,1,200,cjrouffggiqgokfp38g0,ibm_auckland,1024
2,7,0,2,1,82,cjrouffggiqgokfp38g0,ibm_auckland,1024
2,7,1,2,1,49,cjrouffggiqgokfp38g0,ibm_auckland,1024
2,7,2,2,0,11,cjrouffggiqgokfp38g0,ibm_auckland,1024
2,7,3,2,1,23,cjrouffggiqgokfp38g0,ibm_auckland,1024
2,7,0,3,1,86,cjrouffggiqgokfp38g0,ibm_auckland,1024
2,7,1,3,1,153,cjrouffggiqgokfp38g0,ibm_auckland,1024
2,7,2,3,1,70,cjrouffggiqgokfp38g0,ibm_auckland,1024
2,7,3,3,0,13,cjrouffggiqgokfp38g0,ibm_auckland,1024
2,8,0,0,0,31,cjrouffggiqgokfp38g0,ibm_auckland,1024
2,8,1,0,1,43,cjrouffggiqgokfp38g0,ibm_auckland,1024
2,8,2,0,1,23,cjrouffggiqgokfp38g0,ibm_auckland,1024
2,8,3,0,1,115,cjrouffggiqgokfp38g0,ibm_auckland,1024
