va,vb,noise_factor,obs_value,obs_var,extrapolated_value
5,6,2,0.966796875,0.016149520874023438,0.2070312500000001
5,6,3,0.978515625,0.010573863983154297,0.2070312500000001
5,6,4,0.978515625,0.010568618774414062,0.2070312500000001
5,6,5,0.9765625,0.011510848999023438,0.2070312500000001
5,11,1,0.974609375,0.012453079223632812,0.8985351562500001
5,11,2,0.97265625,0.013391494750976562,0.8985351562500001
5,11,3,0.2529296875,0.18706655502319336,0.8985351562500001
5,11,4,0.2548828125,0.18747663497924805,0.8985351562500001
5,11,5,0.9814453125,0.009148120880126953,0.8985351562500001
5,12,1,0.98046875,0.009624004364013672,0.8056640625000003
5,12,2,0.5341796875,0.12576723098754883,0.8056640625000003
5,12,3,0.9755859375,0.011982440948486328,0.8056640625000003
5,12,4,0.5263671875,0.12782001495361328,0.8056640625000003
5,12,5,0.970703125,0.014326095581054688,0.8056640625000003
5,13,1,0.2392578125,0.18745183944702148,0.3165039062499999
5,13,2,0.4560546875,0.12691259384155273,0.3165039062499999
5,13,3,0.97265625,0.01338958740234375,0.3165039062499999
5,13,4,0.978515625,0.010569095611572266,0.3165039062499999
5,13,5,0.4990234375,0.12881994247436523,0.3165039062499999
6,1,1,0.2470703125,0.18736934661865234,0.28173828125000017
6,1,2,0.486328125,0.1271347999572754,0.28173828125000017
6,1,3,0.9716796875,0.013858318328857422,0.28173828125000017
6,1,4,0.2685546875,0.18729925155639648,0.28173828125000017
6,1,5,0.81640625,0.07634401321411133,0.28173828125000017
6,5,1,0.259765625,0.1874680519104004,-0.09326171875000022
6,5,2,0.2734375,0.1871967315673828,-0.09326171875000022
6,5,3,0.2490234375,0.18743658065795898,-0.09326171875000022
6,5,4,0.9658203125,0.016659259796142578,-0.09326171875000022
6,5,5,0.9775390625,0.01104116439819336,-0.09326171875000022
6,6,1,0.494140625,0.12717676162719727,0.1307617187500001
6,6,2,0.2421875,0.1873774528503418,0.1307617187500001
6,6,3,0.515625,0.12743520736694336,0.1307617187500001
6,6,4,0.9697265625,0.01478719711303711,0.1307617187500001
6,6,5,0.9794921875,0.010090351104736328,0.1307617187500001
6,9,1,0.978515625,0.010573863983154297,0.6860351562500001
6,9,2,0.25,0.18726205825805664,0.6860351562500001
6,9,3,0.984375,0.007720470428466797,0.6860351562500001
6,9,4,0.2568359375,0.18747854232788086,0.6860351562500001
6,9,5,0.982421875,0.008672714233398438,0.6860351562500001
6,10,1,0.3837890625,0.12209749221801758,0.5779296875000001
6,10,2,0.982421875,0.008668899536132812,0.5779296875000001
6,10,3,0.8681640625,0.0579838752746582,0.5779296875000001
6,10,4,0.462890625,0.12638473510742188,0.5779296875000001
6,10,5,0.869140625,0.057775020599365234,0.5779296875000001
6,13,1,0.4775390625,0.12676572799682617,0.74150390625
6,13,2,0.9765625,0.011517047882080078,0.74150390625
6,13,3,0.87109375,0.05704832077026367,0.74150390625
6,13,4,0.9755859375,0.011980533599853516,0.74150390625
6,13,5,0.513671875,0.1270136833190918,0.74150390625
7,2,1,0.4990234375,0.12740230560302734,0.55166015625
