va,vb,noise_factor,obs_value,obs_var,extrapolated_value
7,10,4,0.9501953125,0.02391958236694336,0.5468749999999999
7,12,1,0.244140625,0.18740510940551758,0.17333984374999967
7,12,2,0.5244140625,0.1260819435119629,0.17333984374999967
7,12,3,0.982421875,0.008656024932861328,0.17333984374999967
7,12,4,0.666015625,0.11674356460571289,0.17333984374999967
8,9,1,0.9482421875,0.02484750747680664,0.595703125
8,9,2,0.2470703125,0.1873478889465332,0.595703125
8,9,3,0.29296875,0.1866288185119629,0.595703125
8,9,4,0.9521484375,0.022992610931396484,0.595703125
8,11,1,0.455078125,0.12557458877563477,0.46240234375000006
8,11,2,0.5029296875,0.1326127052307129,0.46240234375000006
8,11,3,0.083984375,0.15848112106323242,0.46240234375000006
8,11,4,0.48828125,0.13346242904663086,0.46240234375000006
13,0,1,0.978515625,0.010551929473876953,0.6313476562499996
13,0,2,0.26171875,0.18720388412475586,0.6313476562499996
13,0,3,0.9541015625,0.022044658660888672,0.6313476562499996
13,0,4,0.9560546875,0.021193981170654297,0.6313476562499996
13,1,1,0.455078125,0.12557411193847656,0.45019531249999994
13,1,2,0.9482421875,0.024799823760986328,0.45019531249999994
13,1,3,0.2802734375,0.18675756454467773,0.45019531249999994
13,1,4,0.9580078125,0.020314693450927734,0.45019531249999994
13,2,1,0.951171875,0.023439407348632812,0.90771484375
13,2,2,0.8828125,0.053472042083740234,0.90771484375
13,2,3,0.5283203125,0.12708806991577148,0.90771484375
13,2,4,0.9697265625,0.01476144790649414,0.90771484375
13,3,1,0.23046875,0.18688201904296875,0.22412109374999978
13,3,2,0.9462890625,0.025614261627197266,0.22412109374999978
13,3,3,0.9453125,0.026114940643310547,0.22412109374999978
13,3,4,0.958984375,0.019852161407470703,0.22412109374999978
13,4,1,0.9072265625,0.042729854583740234,0.86181640625
13,4,2,0.873046875,0.05722856521606445,0.86181640625
13,4,3,0.498046875,0.1266951560974121,0.86181640625
13,4,4,0.9638671875,0.017542362213134766,0.86181640625
13,5,1,0.4765625,0.14577722549438477,0.4736328125000001
13,5,2,0.94921875,0.024361133575439453,0.4736328125000001
13,5,3,0.232421875,0.18711471557617188,0.4736328125000001
13,5,4,0.955078125,0.021610736846923828,0.4736328125000001
13,6,1,0.966796875,0.016187667846679688,0.9750976562500001
13,6,2,0.974609375,0.012462615966796875,0.9750976562500001
13,6,3,0.05859375,0.0618743896484375,0.9750976562500001
13,6,4,0.9580078125,0.02023458480834961,0.9750976562500001
13,7,1,0.9619140625,0.01848745346069336,0.9658203124999999
13,7,2,0.966796875,0.016170978546142578,0.9658203124999999
13,7,3,0.9765625,0.011510848999023438,0.9658203124999999
13,7,4,0.958984375,0.019819259643554688,0.9658203124999999
13,8,1,0.974609375,0.012436389923095703,1.31884765625
13,8,2,0.9501953125,0.023936748504638672,1.31884765625
13,8,3,0.23828125,0.18714332580566406,1.31884765625
13,8,4,0.26171875,0.18727636337280273,1.31884765625
13,9,1,0.501953125,0.1269207000732422,0.5117187499999999
13,9,2,0.96875,0.015220165252685547,0.5117187499999999
13,9,3,0.8935546875,0.04790353775024414,0.5117187499999999
13,9,4,0.94921875,0.02426910400390625,0.5117187499999999
13,10,1,0.046875,0.14564180374145508,-0.18505859375000033
13,10,2,0.4912109375,0.1334371566772461,-0.18505859375000033
13,10,3,0.9482421875,0.024821758270263672,-0.18505859375000033
13,10,4,0.955078125,0.021656513214111328,-0.18505859375000033
13,11,1,0.9541015625,0.022139549255371094,0.9575195312499994
13,11,2,0.9619140625,0.018398761749267578,0.9575195312499994
13,11,3,0.974609375,0.012436389923095703,0.9575195312499994
13,11,4,0.955078125,0.021610736846923828,0.9575195312499994
13,12,1,0.9443359375,0.026602745056152344,0.947265625
13,12,2,0.255859375,0.18723487854003906,0.947265625
13,12,3,0.9794921875,0.010096549987792969,0.947265625
13,12,4,0.25,0.1874408721923828,0.947265625
1,0,1,0.958984375,0.019808292388916016,0.5156249999999994
1,0,2,0.068359375,0.1515793800354004,0.5156249999999994
1,0,3,0.962890625,0.017990589141845703,0.5156249999999994
1,0,4,0.955078125,0.021623611450195312,0.5156249999999994
2,0,1,0.9755859375,0.011977672576904297,1.2294921875
2,0,2,0.9716796875,0.01385354995727539,1.2294921875
2,0,3,0.4609375,0.12580156326293945,1.2294921875
